Ticket ID,Ticket_Date,Ticket Priority,Ticket Channel,Ticket Type,Product Purchased,Resolution_Hours,Is_SLA_Breach,Breach_Cost,Breach_Cost,Pred_Breach_Prob,Risk_Bucket
205,2023-01-07,High,Phone,Cancellation request,Google Nest,5.05,False,0,0,0.3979214219724113,Medium Risk
220,2023-01-21,Critical,Social media,Technical issue,Canon EOS,5.083333333333333,True,500,500,0.8720787038233544,High Risk
227,2023-03-14,High,Phone,Billing inquiry,Apple AirPods,22.366666666666667,True,200,200,0.510406872759135,Medium Risk
230,2023-02-08,Critical,Social media,Technical issue,Microsoft Xbox Controller,3.5,False,0,0,0.8420440397185401,High Risk
238,2023-01-18,High,Social media,Product inquiry,Sony Xperia,12.783333333333333,True,200,200,0.6550146421432834,Medium Risk
242,2023-01-04,Low,Social media,Billing inquiry,iPhone,14.65,False,0,0,0.021303284857563377,Low Risk
250,2023-03-30,High,Chat,Refund request,Sony PlayStation,0.4,False,0,0,0.4600906314873027,Medium Risk
251,2023-03-01,Critical,Phone,Technical issue,Roomba Robot Vacuum,5.816666666666666,True,500,500,0.8200556199372087,High Risk
260,2023-01-14,Low,Social media,Billing inquiry,PlayStation,9.533333333333333,False,0,0,0.02207621989738914,Low Risk
270,2023-01-09,High,Social media,Refund request,MacBook Pro,11.8,True,200,200,0.6960067272060506,High Risk
271,2023-02-22,Critical,Phone,Billing inquiry,Xbox,2.35,False,0,0,0.5938664284385934,Medium Risk
279,2023-01-02,Low,Social media,Technical issue,Apple AirPods,1.3833333333333333,False,0,0,0.06814461682842841,Low Risk
281,2023-03-25,Critical,Chat,Product inquiry,Bose SoundLink Speaker,6.783333333333333,True,500,500,0.8868467343733223,High Risk
293,2023-03-01,High,Email,Billing inquiry,Philips Hue Lights,6.3,False,0,0,0.6203377316360557,Medium Risk
295,2023-03-12,Critical,Phone,Product inquiry,Philips Hue Lights,0.43333333333333335,False,0,0,0.8980217968893872,High Risk
298,2023-02-13,Critical,Phone,Cancellation request,Apple AirPods,17.433333333333334,True,500,500,0.7494660476887625,High Risk
303,2023-01-08,Medium,Phone,Product inquiry,Amazon Kindle,2.066666666666667,False,0,0,0.17673354400506247,Low Risk
305,2023-02-16,Medium,Chat,Cancellation request,Amazon Kindle,12.933333333333334,False,0,0,0.030094693991866654,Low Risk
307,2023-02-04,Low,Social media,Refund request,GoPro Action Camera,5.05,False,0,0,0.027104298448565687,Low Risk
312,2023-03-19,Critical,Chat,Refund request,Bose QuietComfort,7.0,True,500,500,0.8786978217359624,High Risk
313,2023-03-22,Medium,Email,Technical issue,Microsoft Xbox Controller,4.266666666666667,False,0,0,0.10757486216481467,Low Risk
315,2023-02-05,High,Email,Cancellation request,GoPro Hero,3.716666666666667,False,0,0,0.7197041600397205,High Risk
326,2023-02-19,Low,Phone,Refund request,Microsoft Surface,13.783333333333333,False,0,0,0.07464130538754388,Low Risk
330,2023-01-04,Medium,Chat,Refund request,GoPro Hero,10.516666666666667,False,0,0,0.12641119123875483,Low Risk
333,2023-01-02,Medium,Social media,Technical issue,Fitbit Versa Smartwatch,4.75,False,0,0,0.022927012932938074,Low Risk
339,2023-01-06,Critical,Social media,Technical issue,iPhone,12.966666666666667,True,500,500,0.8742665160505421,High Risk
343,2023-02-23,Low,Chat,Cancellation request,Sony PlayStation,8.516666666666667,False,0,0,0.023801018784163085,Low Risk
345,2023-01-04,High,Phone,Technical issue,HP Pavilion,13.016666666666667,True,200,200,0.7203626408293867,High Risk
350,2023-02-23,Critical,Email,Billing inquiry,LG OLED,19.916666666666668,True,500,500,0.9070304028702924,High Risk
351,2023-03-04,Critical,Social media,Cancellation request,Garmin Forerunner,13.7,True,500,500,0.8798446001947746,High Risk
357,2023-01-18,High,Chat,Technical issue,iPhone,20.616666666666667,True,200,200,0.6955086396807953,High Risk
361,2023-02-13,Medium,Email,Cancellation request,Nintendo Switch Pro Controller,6.333333333333333,False,0,0,0.03109621805557043,Low Risk
362,2023-02-03,Medium,Chat,Product inquiry,Bose QuietComfort,7.116666666666666,False,0,0,0.0476049086394657,Low Risk
365,2023-03-15,High,Chat,Cancellation request,GoPro Action Camera,9.116666666666667,True,200,200,0.5327206587954955,Medium Risk
366,2023-03-03,Medium,Social media,Billing inquiry,Bose QuietComfort,0.7333333333333333,False,0,0,0.02011380275043394,Low Risk
372,2023-01-14,Medium,Email,Cancellation request,Amazon Kindle,3.65,False,0,0,0.10771947780879412,Low Risk
373,2023-02-17,Medium,Social media,Refund request,GoPro Action Camera,11.266666666666667,False,0,0,0.03069838636710633,Low Risk
374,2023-01-15,Critical,Phone,Technical issue,GoPro Hero,4.833333333333333,True,500,500,0.8588124096400459,High Risk
376,2023-03-13,Low,Phone,Product inquiry,Lenovo ThinkPad,5.35,False,0,0,0.023589155363463093,Low Risk
381,2023-03-19,Low,Email,Product inquiry,GoPro Hero,9.016666666666667,False,0,0,0.0641012288674458,Low Risk
382,2023-03-28,High,Email,Product inquiry,Sony PlayStation,1.2833333333333334,False,0,0,0.6554934910073793,Medium Risk
384,2023-03-03,High,Social media,Refund request,Sony 4K HDR TV,6.683333333333334,False,0,0,0.6727978988503165,High Risk
388,2023-02-09,High,Chat,Billing inquiry,Adobe Photoshop,2.183333333333333,False,0,0,0.36298900304303156,Medium Risk
391,2023-03-26,High,Phone,Technical issue,Bose SoundLink Speaker,17.45,True,200,200,0.7431751440329825,High Risk
396,2023-03-21,Low,Phone,Technical issue,GoPro Action Camera,14.6,False,0,0,0.03867964295396217,Low Risk
403,2023-03-23,Medium,Social media,Cancellation request,Sony 4K HDR TV,2.466666666666667,False,0,0,0.07779902587292009,Low Risk
405,2023-02-22,Critical,Social media,Cancellation request,Asus ROG,8.433333333333334,True,500,500,0.8795252136918005,High Risk
412,2023-01-24,Low,Phone,Refund request,Amazon Kindle,3.8666666666666667,False,0,0,0.031986364154129,Low Risk
419,2023-01-26,Low,Chat,Technical issue,Garmin Forerunner,26.35,False,0,0,0.04823116514745427,Low Risk
430,2023-03-30,Low,Chat,Refund request,Sony 4K HDR TV,2.283333333333333,False,0,0,0.030704610817631945,Low Risk
438,2023-03-01,Critical,Social media,Cancellation request,Canon EOS,7.116666666666666,True,500,500,0.8385814146647176,High Risk
439,2023-02-10,Medium,Social media,Product inquiry,MacBook Pro,0.8333333333333334,False,0,0,0.031855698654383695,Low Risk
440,2023-01-29,Low,Email,Cancellation request,LG OLED,2.6,False,0,0,0.030415028189864923,Low Risk
444,2023-01-15,Medium,Phone,Refund request,Canon DSLR Camera,10.816666666666666,False,0,0,0.042755317430868016,Low Risk
445,2023-02-14,Medium,Phone,Technical issue,Google Nest,2.35,False,0,0,0.06462843646244089,Low Risk
456,2023-03-06,Low,Social media,Refund request,Fitbit Versa Smartwatch,5.4,False,0,0,0.03682371702767998,Low Risk
460,2023-03-30,Low,Email,Product inquiry,PlayStation,4.516666666666667,False,0,0,0.025091878912992745,Low Risk
462,2023-03-12,Critical,Email,Billing inquiry,Google Nest,15.233333333333333,True,500,500,0.9053513291819563,High Risk
464,2023-01-09,Medium,Social media,Product inquiry,Canon EOS,5.516666666666667,False,0,0,0.04869714743879131,Low Risk
486,2023-03-29,Medium,Phone,Product inquiry,Dyson Vacuum Cleaner,13.75,False,0,0,0.18894121198555217,Low Risk
496,2023-01-01,Low,Social media,Technical issue,Fitbit Charge,19.366666666666667,False,0,0,0.039315517406286436,Low Risk
497,2023-01-08,Medium,Phone,Technical issue,Sony PlayStation,8.216666666666667,False,0,0,0.025002327217399197,Low Risk
501,2023-03-29,High,Chat,Cancellation request,Garmin Forerunner,11.516666666666667,True,200,200,0.6999981833725961,High Risk
502,2023-03-04,Critical,Phone,Billing inquiry,Canon DSLR Camera,1.2333333333333334,False,0,0,0.5438162258719129,Medium Risk
504,2023-01-11,Medium,Phone,Technical issue,Sony Xperia,8.433333333333334,False,0,0,0.02219798019644662,Low Risk
510,2023-03-22,High,Chat,Product inquiry,Asus ROG,8.233333333333333,True,200,200,0.696660597532256,High Risk
512,2023-01-08,Low,Phone,Product inquiry,Canon EOS,6.433333333333334,False,0,0,0.06151824067548495,Low Risk
515,2023-02-04,Critical,Chat,Technical issue,Amazon Echo,0.13333333333333333,False,0,0,0.7536785050725503,High Risk
517,2023-02-04,Critical,Phone,Billing inquiry,Dyson Vacuum Cleaner,11.466666666666667,True,500,500,0.7199857786969347,High Risk
519,2023-02-02,Critical,Chat,Product inquiry,Nest Thermostat,9.0,True,500,500,0.9052800264591468,High Risk
527,2023-01-05,Critical,Social media,Refund request,Bose QuietComfort,19.766666666666666,True,500,500,0.8601238946712001,High Risk
537,2023-02-10,Medium,Phone,Technical issue,Microsoft Xbox Controller,7.066666666666666,False,0,0,0.014912621100249502,Low Risk
540,2023-01-28,Medium,Chat,Cancellation request,Adobe Photoshop,12.433333333333334,False,0,0,0.03912867162005213,Low Risk
544,2023-01-07,Low,Email,Refund request,PlayStation,23.733333333333334,False,0,0,0.0543230032754627,Low Risk
559,2023-03-14,Critical,Chat,Product inquiry,Nikon D,4.916666666666667,True,500,500,0.7723518097378347,High Risk
562,2023-03-13,Medium,Phone,Technical issue,LG OLED,11.916666666666666,False,0,0,0.12663097888014438,Low Risk
569,2023-01-12,Low,Social media,Product inquiry,Samsung Galaxy,13.2,False,0,0,0.031973660610994915,Low Risk
575,2023-02-03,Medium,Chat,Billing inquiry,Adobe Photoshop,0.1,False,0,0,0.04857579855948508,Low Risk
581,2023-02-02,Critical,Social media,Cancellation request,Samsung Galaxy,5.6,True,500,500,0.8599689461383707,High Risk
588,2023-02-17,Medium,Phone,Refund request,LG OLED,11.383333333333333,False,0,0,0.08814523323053391,Low Risk
590,2023-01-23,High,Phone,Technical issue,PlayStation,5.183333333333334,False,0,0,0.7279671753148,High Risk
597,2023-03-03,Critical,Phone,Cancellation request,LG Smart TV,1.4166666666666667,False,0,0,0.7245513283000422,High Risk
598,2023-03-29,High,Phone,Technical issue,Garmin Forerunner,18.783333333333335,True,200,200,0.6971377944501215,High Risk
599,2023-02-06,Critical,Social media,Technical issue,GoPro Action Camera,12.3,True,500,500,0.8894078752578795,High Risk
601,2023-02-13,Low,Email,Billing inquiry,Canon DSLR Camera,12.283333333333333,False,0,0,0.03765535799033059,Low Risk
605,2023-03-27,Critical,Social media,Product inquiry,Google Pixel,11.833333333333334,True,500,500,0.8697345820413849,High Risk
612,2023-02-04,Medium,Phone,Product inquiry,MacBook Pro,0.5666666666666667,False,0,0,0.036496316518663065,Low Risk
620,2023-03-06,Low,Email,Technical issue,Amazon Kindle,0.4166666666666667,False,0,0,0.032449080372748455,Low Risk
622,2023-02-16,Medium,Chat,Product inquiry,Sony 4K HDR TV,3.183333333333333,False,0,0,0.06619436283906507,Low Risk
636,2023-03-19,Medium,Chat,Cancellation request,Canon DSLR Camera,7.266666666666667,False,0,0,0.029827087109139838,Low Risk
644,2023-01-03,Critical,Email,Cancellation request,Microsoft Surface,17.516666666666666,True,500,500,0.9166477710366489,High Risk
645,2023-01-01,Medium,Social media,Refund request,MacBook Pro,15.933333333333334,False,0,0,0.14021354510614767,Low Risk
649,2023-01-05,Medium,Phone,Refund request,PlayStation,13.116666666666667,False,0,0,0.04988256808390037,Low Risk
655,2023-01-14,High,Email,Refund request,Nest Thermostat,9.533333333333333,True,200,200,0.8243175493093517,High Risk
657,2023-01-27,Critical,Email,Refund request,Sony PlayStation,22.383333333333333,True,500,500,0.7985232009672433,High Risk
658,2023-01-09,High,Social media,Technical issue,Nintendo Switch Pro Controller,16.516666666666666,True,200,200,0.7921639558696095,High Risk
663,2023-03-20,High,Social media,Billing inquiry,Amazon Echo,2.8333333333333335,False,0,0,0.6848875655830078,High Risk
674,2023-01-15,Medium,Email,Product inquiry,Nintendo Switch,17.233333333333334,False,0,0,0.13803535748487877,Low Risk
680,2023-02-11,Critical,Phone,Technical issue,Nikon D,7.766666666666667,True,500,500,0.84359101060409,High Risk
685,2023-03-18,Critical,Chat,Technical issue,Canon EOS,5.116666666666666,True,500,500,0.8695463740067418,High Risk
702,2023-02-20,Critical,Chat,Technical issue,Sony Xperia,3.5166666666666666,False,0,0,0.906369865076399,High Risk
705,2023-03-04,High,Chat,Refund request,Dell XPS,12.916666666666666,True,200,200,0.7485387523238747,High Risk
712,2023-02-21,High,Phone,Technical issue,Fitbit Versa Smartwatch,21.55,True,200,200,0.7868494481723758,High Risk
713,2023-01-04,High,Email,Product inquiry,LG Washing Machine,11.016666666666667,True,200,200,0.6591826454534074,Medium Risk
721,2023-01-23,Critical,Phone,Billing inquiry,Adobe Photoshop,3.0166666666666666,False,0,0,0.7172315895036663,High Risk
723,2023-01-15,Medium,Email,Technical issue,Dell XPS,22.383333333333333,False,0,0,0.0925322223261047,Low Risk
729,2023-02-12,High,Social media,Cancellation request,LG Washing Machine,17.166666666666668,True,200,200,0.716479479775482,High Risk
730,2023-01-29,Low,Chat,Technical issue,GoPro Action Camera,3.5,False,0,0,0.026424835471357568,Low Risk
734,2023-02-05,Medium,Chat,Cancellation request,Nintendo Switch Pro Controller,9.116666666666667,False,0,0,0.11292643533782266,Low Risk
741,2023-01-13,Critical,Email,Technical issue,Sony Xperia,3.25,False,0,0,0.871780128370594,High Risk
744,2023-02-01,Critical,Email,Cancellation request,Google Nest,6.933333333333334,True,500,500,0.7991050771249844,High Risk
749,2023-03-12,Critical,Email,Technical issue,Microsoft Xbox Controller,22.916666666666668,True,500,500,0.9051352105142649,High Risk
755,2023-02-28,Medium,Phone,Product inquiry,Roomba Robot Vacuum,11.75,False,0,0,0.044845504855995,Low Risk
756,2023-03-27,High,Chat,Refund request,Philips Hue Lights,22.666666666666668,True,200,200,0.8114052548478384,High Risk
764,2023-01-28,Medium,Social media,Product inquiry,Sony PlayStation,6.566666666666666,False,0,0,0.1450974347264902,Low Risk
765,2023-03-07,Medium,Email,Billing inquiry,LG Smart TV,8.833333333333334,False,0,0,0.027033437245911614,Low Risk
766,2023-02-11,Critical,Chat,Refund request,iPhone,14.3,True,500,500,0.8772129369975293,High Risk
770,2023-02-14,High,Chat,Product inquiry,Dell XPS,11.366666666666667,True,200,200,0.7720603461910331,High Risk
773,2023-03-03,Medium,Chat,Cancellation request,iPhone,10.55,False,0,0,0.11284774628006101,Low Risk
777,2023-02-26,Critical,Chat,Cancellation request,Canon DSLR Camera,17.566666666666666,True,500,500,0.8277382706623544,High Risk
781,2023-01-06,Low,Phone,Refund request,Sony PlayStation,19.966666666666665,False,0,0,0.06756155872459899,Low Risk
787,2023-01-28,Critical,Phone,Refund request,Bose SoundLink Speaker,4.3,True,500,500,0.8665424834563392,High Risk
792,2023-01-28,Critical,Email,Cancellation request,Fitbit Versa Smartwatch,14.183333333333334,True,500,500,0.8979528256496345,High Risk
796,2023-02-13,Critical,Chat,Refund request,Roomba Robot Vacuum,1.8166666666666667,False,0,0,0.7777926972648821,High Risk
807,2023-03-25,High,Email,Technical issue,Sony 4K HDR TV,18.533333333333335,True,200,200,0.7667952619576971,High Risk
810,2023-01-30,Medium,Social media,Refund request,Nikon D,16.183333333333334,False,0,0,0.052291836289252,Low Risk
816,2023-03-03,Low,Social media,Product inquiry,Nintendo Switch Pro Controller,26.133333333333333,False,0,0,0.061094981018543076,Low Risk
819,2023-03-16,High,Phone,Refund request,LG Smart TV,18.9,True,200,200,0.746069097572368,High Risk
822,2023-03-30,Critical,Social media,Cancellation request,Lenovo ThinkPad,4.75,True,500,500,0.7655364486197723,High Risk
841,2023-03-03,Critical,Phone,Product inquiry,Nintendo Switch Pro Controller,1.85,False,0,0,0.6507651807667895,Medium Risk
847,2023-01-01,High,Phone,Billing inquiry,Autodesk AutoCAD,6.9,False,0,0,0.5870530202417655,Medium Risk
851,2023-01-27,Low,Email,Refund request,Fitbit Versa Smartwatch,3.533333333333333,False,0,0,0.03671021462177618,Low Risk
853,2023-03-03,Medium,Email,Refund request,Sony 4K HDR TV,8.233333333333333,False,0,0,0.1681117388277399,Low Risk
856,2023-03-18,High,Social media,Billing inquiry,iPhone,7.516666666666667,False,0,0,0.26901369579566964,Low Risk
862,2023-01-03,Medium,Social media,Refund request,GoPro Hero,12.883333333333333,False,0,0,0.08336254298095173,Low Risk
863,2023-03-11,Low,Email,Refund request,Nest Thermostat,14.333333333333334,False,0,0,0.04528118295873517,Low Risk
866,2023-03-13,High,Phone,Cancellation request,Asus ROG,13.183333333333334,True,200,200,0.7449389838445878,High Risk
867,2023-01-27,Critical,Chat,Refund request,Canon DSLR Camera,7.783333333333333,True,500,500,0.8999299970731058,High Risk
876,2023-01-09,Medium,Phone,Cancellation request,Bose QuietComfort,8.116666666666667,False,0,0,0.04097150278151839,Low Risk
877,2023-03-03,High,Phone,Technical issue,Adobe Photoshop,4.033333333333333,False,0,0,0.47189838352982444,Medium Risk
884,2023-02-06,Critical,Email,Product inquiry,Sony 4K HDR TV,4.733333333333333,True,500,500,0.9135599208531618,High Risk
893,2023-02-20,Medium,Phone,Technical issue,LG Washing Machine,18.833333333333332,False,0,0,0.09711758406564709,Low Risk
895,2023-02-13,Critical,Phone,Refund request,Microsoft Surface,7.933333333333334,True,500,500,0.8360369631911015,High Risk
898,2023-01-24,Low,Phone,Technical issue,Bose QuietComfort,3.6333333333333333,False,0,0,0.02463832338004525,Low Risk
904,2023-03-20,Critical,Chat,Billing inquiry,Nest Thermostat,5.433333333333334,True,500,500,0.8203528188859992,High Risk
912,2023-02-28,Critical,Social media,Refund request,Garmin Forerunner,7.433333333333334,True,500,500,0.7999859214301601,High Risk
914,2023-02-01,High,Social media,Product inquiry,Nest Thermostat,2.2333333333333334,False,0,0,0.5621709158462082,Medium Risk
918,2023-03-29,Medium,Chat,Cancellation request,Garmin Forerunner,14.716666666666667,False,0,0,0.059959986327190344,Low Risk
920,2023-02-21,High,Email,Technical issue,Asus ROG,5.65,False,0,0,0.7688661900373133,High Risk
927,2023-03-03,High,Chat,Billing inquiry,Autodesk AutoCAD,10.233333333333333,True,200,200,0.672128388531356,High Risk
934,2023-02-27,Medium,Phone,Technical issue,LG OLED,14.383333333333333,False,0,0,0.12806942739043956,Low Risk
939,2023-02-21,Critical,Social media,Technical issue,Microsoft Surface,11.8,True,500,500,0.9227564568240382,High Risk
945,2023-01-12,Low,Email,Cancellation request,Philips Hue Lights,5.416666666666667,False,0,0,0.05101314821909001,Low Risk
951,2023-02-08,Medium,Chat,Cancellation request,Microsoft Surface,9.466666666666667,False,0,0,0.04743372571999662,Low Risk
956,2023-01-02,Critical,Phone,Cancellation request,Bose SoundLink Speaker,4.133333333333334,True,500,500,0.8269713900125568,High Risk
957,2023-01-03,Medium,Social media,Product inquiry,Sony Xperia,8.5,False,0,0,0.21404732513705574,Low Risk
964,2023-02-25,Low,Email,Cancellation request,Asus ROG,10.75,False,0,0,0.03409125904640904,Low Risk
965,2023-03-22,High,Chat,Billing inquiry,Bose SoundLink Speaker,12.45,True,200,200,0.6891416960259793,High Risk
987,2023-02-28,Critical,Social media,Technical issue,Microsoft Office,9.666666666666666,True,500,500,0.8958258493123069,High Risk
994,2023-01-02,Critical,Social media,Billing inquiry,iPhone,4.283333333333333,True,500,500,0.9005682481878561,High Risk
998,2023-01-02,Medium,Phone,Billing inquiry,Apple AirPods,5.416666666666667,False,0,0,0.04004953122245895,Low Risk
1000,2023-02-23,High,Chat,Billing inquiry,GoPro Action Camera,9.616666666666667,True,200,200,0.5367149573887257,Medium Risk
1005,2023-03-28,Medium,Chat,Refund request,Bose QuietComfort,0.6333333333333333,False,0,0,0.058979508329676,Low Risk
1007,2023-01-01,Critical,Email,Billing inquiry,Amazon Kindle,6.466666666666667,True,500,500,0.8046932952017524,High Risk
1011,2023-01-19,Low,Chat,Refund request,Microsoft Office,0.016666666666666666,False,0,0,0.03838435641712937,Low Risk
1013,2023-01-02,High,Email,Refund request,Microsoft Surface,2.95,False,0,0,0.7134497703710024,High Risk
1016,2023-02-22,Critical,Phone,Product inquiry,Samsung Galaxy,16.783333333333335,True,500,500,0.866103690864556,High Risk
1018,2023-02-13,Medium,Chat,Cancellation request,Fitbit Versa Smartwatch,0.15,False,0,0,0.03928119175312133,Low Risk
1020,2023-02-01,Critical,Phone,Cancellation request,Bose QuietComfort,10.25,True,500,500,0.8648113768459073,High Risk
1022,2023-03-11,Critical,Phone,Product inquiry,iPhone,8.85,True,500,500,0.8835945168832455,High Risk
1030,2023-02-01,Critical,Phone,Cancellation request,Microsoft Surface,12.8,True,500,500,0.8875440246011902,High Risk
1031,2023-03-09,Medium,Phone,Technical issue,Sony Xperia,19.366666666666667,False,0,0,0.14239756245146834,Low Risk
1033,2023-02-24,Medium,Email,Refund request,Sony PlayStation,4.35,False,0,0,0.0633494694765029,Low Risk
1038,2023-03-16,Low,Chat,Technical issue,Nikon D,16.316666666666666,False,0,0,0.049852724159075,Low Risk
1040,2023-02-25,High,Chat,Billing inquiry,Bose QuietComfort,7.533333333333333,False,0,0,0.6797352815697433,High Risk
1041,2023-01-17,Medium,Chat,Refund request,GoPro Action Camera,4.283333333333333,False,0,0,0.053726401510026264,Low Risk
1048,2023-02-07,High,Chat,Product inquiry,Microsoft Surface,6.466666666666667,False,0,0,0.6374535234829519,Medium Risk
1063,2023-01-24,Medium,Phone,Product inquiry,Nintendo Switch,5.05,False,0,0,0.03430860418897953,Low Risk
1068,2023-03-10,Low,Chat,Refund request,GoPro Hero,15.983333333333333,False,0,0,0.08991783899868123,Low Risk
1069,2023-03-11,Low,Email,Refund request,Lenovo ThinkPad,19.616666666666667,False,0,0,0.06627642028683571,Low Risk
1070,2023-03-27,Medium,Social media,Cancellation request,Samsung Soundbar,10.883333333333333,False,0,0,0.03055261108576997,Low Risk
1072,2023-01-11,Low,Chat,Cancellation request,Microsoft Xbox Controller,6.683333333333334,False,0,0,0.029819580411547975,Low Risk
1073,2023-01-16,Medium,Chat,Refund request,Microsoft Office,2.35,False,0,0,0.07315016337139041,Low Risk
1074,2023-03-14,Medium,Chat,Cancellation request,Amazon Kindle,4.283333333333333,False,0,0,0.021314205797858518,Low Risk
1090,2023-02-28,Low,Social media,Billing inquiry,LG Washing Machine,12.25,False,0,0,0.0466506588842819,Low Risk
1095,2023-03-11,Low,Social media,Refund request,LG OLED,7.166666666666667,False,0,0,0.050453609144817134,Low Risk
1102,2023-03-21,Critical,Chat,Cancellation request,iPhone,6.383333333333334,True,500,500,0.8623927123602546,High Risk
1110,2023-01-03,Low,Email,Cancellation request,Nest Thermostat,23.9,False,0,0,0.07650751539656726,Low Risk
1114,2023-01-20,Critical,Social media,Product inquiry,Dyson Vacuum Cleaner,12.983333333333333,True,500,500,0.9122090752051629,High Risk
